Id,Init,Completion,Type,Kinetic
003f117e14,8.61312,14.7731,Turn,1
009ee11563,11.3847,41.1847,Turn,1
009ee11563,54.6647,58.7847,Turn,1
011322847a,28.0966,30.2966,Turn,1
01d0fe7266,30.3184,31.8784,Turn,1
03bb0c0c46,16.0447,17.2447,Turn,1
03bb0c0c46,19.6047,20.6047,Turn,1
03c9d8dbfa,16.4894,17.6094,Turn,1
03c9d8dbfa,34.8494,36.9694,Turn,1
03c9d8dbfa,37.2894,39.8494,Turn,1
03c9d8dbfa,37.5494,44.8694,Turn,1
04b449020a,7.21437,8.29437,Turn,1
04b449020a,20.1744,21.4944,Turn,1
04b449020a,51.2144,54.0544,Turn,1
04e10e0797,15.6412,59.8012,Turn,1
04e10e0797,75.2013,84.6013,Turn,1
04e10e0797,102.081,108.361,Turn,1
0506d9a39f,12.38,14.38,Turn,1
0506d9a39f,18.54,19.3,Turn,1
052a913d06,40.7725,42.1725,Turn,1
052a913d06,45.0525,46.2125,Turn,1
052a913d06,47.2125,48.3725,Walking,1
0561a4912c,19.665,24.905,Turn,1
05e892544d,9.00156,10.2816,Turn,1
05e892544d,11.0016,20.3616,Turn,1
05e892544d,22.3816,23.2616,Turn,1
05e892544d,25.9016,31.8816,Turn,1
05e892544d,47.8016,49.2416,Turn,1
06228cf84a,19.4203,20.1403,Turn,1
06228cf84a,20.6003,22.7603,Turn,1
06422a906e,19.8919,28.4519,Turn,1
06422a906e,33.8719,34.7519,Turn,1
07bd2e7fbc,7.62,9.14,Walking,1
07bd2e7fbc,19.8,20.58,Turn,1
08cb8d3129,30.8609,35.0209,Turn,1
08d6702e8a,10.5294,11.4894,Turn,1
08d6702e8a,16.3694,17.7694,Turn,1
0974bf9e9f,11.6584,14.0184,Turn,1
0974bf9e9f,18.4584,25.8184,Turn,1
0a89f859b5,20.92,24.42,Turn,1
0b26b0d64f,10.4066,11.7266,Turn,1
0b26b0d64f,13.7066,14.7466,Turn,1
0b36680dd2,8.23562,14.5756,Turn,1
0b73d30dee,18.5556,30.8156,Turn,1
0b73d30dee,30.8156,42.8156,Turn,1
0b73d30dee,49.6956,52.8556,Turn,1
0b73d30dee,58.3956,59.3956,Turn,1
0b77238a70,8.40687,10.8069,Walking,1
0b77238a70,11.9269,30.5269,Turn,1
0b77238a70,39.0469,41.6869,Walking,1
0b77238a70,45.1669,49.8469,Turn,1
0b77238a70,50.8469,54.2069,Walking,1
0c4742dfa9,23.1119,25.2719,Turn,1
0c7b7078a3,8.3375,35.6975,Turn,1
0c7b7078a3,39.8575,46.9775,Turn,1
0c7b7078a3,58.4575,63.4175,Turn,1
0c7b7078a3,76.3775,79.5775,Turn,1
0d36278c02,19.1425,29.2025,Turn,1
0df04e8431,16.1666,17.0866,Turn,1
0df04e8431,18.9866,20.0266,Turn,1
10e83d6550,11.12,74.28,StartHesitation,1
10e83d6550,74.28,300.7,Turn,1
10e83d6550,300.7,363.64,Walking,1
10e83d6550,363.64,439.8,Turn,1
10e83d6550,439.8,572.42,Walking,1
10e83d6550,572.42,575.1,Turn,1
10efee36af,8.04531,13.4453,Turn,1
11d9a51544,10.2959,14.6359,Turn,1
11d9a51544,16.2159,17.3759,Turn,1
11d9a51544,23.8159,25.2559,Turn,1
11d9a51544,26.8959,28.2559,Turn,1
11d9a51544,33.6959,36.5359,Turn,1
12dd57ee9c,35.295,36.715,Turn,1
12f93693fe,7.25719,16.5772,Turn,1
12f93693fe,17.4572,26.1372,Turn,1
12f93693fe,39.8972,40.9372,Turn,1
146bd622af,8.44812,31.2481,Turn,1
